11:memory-leaks	c++	memory	memory-management	c	iphone	malloc	debugging	c#	java	30.0%	60.0%	40.0
12:c#	c++	documentation	java	html	c	cmake	flex	adobe-air	asp.net	0.0%	0.0%	NaN
13:.htaccess	mod-rewrite	apache	redirect	url-rewriting	php	html	url	c#	subdomain	10.0%	20.0%	13.333333333333334
22:windows	c#	.net	c++	c	windows-xp	exe	dll	php	windows-vista	10.0%	33.33333333333333%	15.384615384615383
59:java	php	c++	math	javascript	css	css3	string	c	flash	10.0%	33.33333333333333%	15.384615384615383
68:google-maps	api	twitter	android	iphone	javascript	google-maps-api-3	oauth	google	php	10.0%	33.33333333333333%	15.384615384615383
85:c#	java	c++	ruby-on-rails	.net	php	ruby	blackberry	jquery	reflection	0.0%	0.0%	NaN
86:sql	database	c#	sqlite	mysql	android	asp.net	sql-server-2005	.net	database-design	20.0%	66.66666666666666%	30.769230769230766
100:perl	python	java	javascript	c++	php	asp.net	c#	c	ruby	10.0%	33.33333333333333%	15.384615384615383
104:java	c#	php	c++	css	comments	jsp	html	javascript	servlets	0.0%	0.0%	NaN
109:c#	windows	android	wpf	iphone	c++	winforms	.net	button	styles	20.0%	50.0%	28.571428571428573
114:open-source	c#	php	hosting	java	asp.net	xcode	project-management	android	web-development	10.0%	25.0%	14.285714285714286
115:unit-testing	java	c#	c++	windows	php	memory-leaks	junit4	junit	caching	10.0%	33.33333333333333%	15.384615384615383
117:c#	asp.net	.net	java	c++	python	c	objective-c	ruby	reflection	20.0%	100.0%	33.333333333333336
119:c#	random	ruby-on-rails	database	xml	java	javascript	python	objective-c	ctags	10.0%	20.0%	13.333333333333334
141:.net	c#	windows	visual-c++	licensing	dll	asp.net	java	javascript	open-source	10.0%	33.33333333333333%	15.384615384615383
147:php	curl	windows	apache	web-development	php-extension	php5	string	mysql	wordpress	30.0%	100.0%	46.15384615384615
154:php	html	jquery	css	echo	shell	xhtml	formatting	javascript	domdocument	30.0%	75.0%	42.857142857142854
167:plot	r	java	linux	c#	visual-c++	matlab	python	c++	oracle	10.0%	33.33333333333333%	15.384615384615383
178:programming-languages	java	functional-programming	c	lisp	books	compiler	haskell	ocaml	f#	10.0%	33.33333333333333%	15.384615384615383
