11:memory-leaks	c++	memory-management	c	memory	malloc	java	linux	ubuntu	debugging	30.0%	60.0%	40.0
12:documentation	c#	c++	c	cmake	flex	adobe-air	java	winapi	dll	0.0%	0.0%	NaN
13:.htaccess	mod-rewrite	apache	redirect	url-rewriting	html	php	url	c#	css	0.0%	0.0%	NaN
22:windows	c#	c++	.net	c	windows-xp	exe	dll	windows-registry	iis5	10.0%	33.33333333333333%	15.384615384615383
59:java	php	c++	javascript	css	css3	string	c	math	flash	10.0%	33.33333333333333%	15.384615384615383
68:google-maps	api	android	twitter	google-maps-api-3	javascript	google	iphone	oauth	java	10.0%	33.33333333333333%	15.384615384615383
85:c#	c++	java	ruby-on-rails	php	ruby	jquery	javascript	maven-plugin	maven-2	0.0%	0.0%	NaN
86:sql	database	sqlite	mysql	android	c#	sql-server-2005	database-design	postgresql	sql-server	20.0%	66.66666666666666%	30.769230769230766
100:perl	python	java	asp.net	c#	c	ruby	javascript	c++	multithreading	10.0%	33.33333333333333%	15.384615384615383
104:java	c++	css	c#	php	comments	jsp	html	javascript	servlets	0.0%	0.0%	NaN
109:c#	windows	android	iphone	wpf	winforms	.net	button	styles	jquery	10.0%	25.0%	14.285714285714286
114:open-source	c#	hosting	java	php	android	web-development	asp.net	tutorials	resources	10.0%	25.0%	14.285714285714286
115:unit-testing	java	c#	c++	junit4	junit	caching	.net	orm	nhibernate	10.0%	33.33333333333333%	15.384615384615383
117:c#	c++	asp.net	c	objective-c	.net	java	python	properties	php	10.0%	50.0%	16.666666666666668
119:c#	ruby-on-rails	xml	java	database	javascript	python	objective-c	ctags	vim	10.0%	20.0%	13.333333333333334
141:.net	c#	windows	visual-c++	licensing	asp.net	gpl	open-source	windows-vista	dll	10.0%	33.33333333333333%	15.384615384615383
147:php	curl	windows	apache	web-development	php5	php-extension	string	iis	wimp	30.0%	100.0%	46.15384615384615
154:php	html	jquery	shell	css	xhtml	formatting	javascript	domdocument	domxpath	30.0%	75.0%	42.857142857142854
167:plot	r	java	linux	matlab	c++	oracle	visual-c++	weblogic	python	10.0%	33.33333333333333%	15.384615384615383
178:programming-languages	java	functional-programming	c	lisp	books	compiler	haskell	ocaml	f#	10.0%	33.33333333333333%	15.384615384615383
179:c#	php	asp.net	sharepoint	.net	java	cakephp	objective-c	assembly	sharepoint2010	10.0%	33.33333333333333%	15.384615384615383
