3:unicode	encoding	string	utf-8	java	c++	sql	c	c#	ascii	30.0%	60.0%	40.0
5:sql	primary-key	sql-server	database	oracle	mysql	foreign-keys	database-design	c#	.net	20.0%	66.66666666666666%	30.769230769230766
6:c#	php	javascript	java	android	sql	winapi	.net	asp.net	wpf	0.0%	0.0%	0.0
15:colors	c#	android	winforms	label	java	.net	cocoa	mysql	php	10.0%	33.33333333333333%	15.384615384615383
18:c#	xml	android	php	.net	file	iphone	c	cvs	eps	0.0%	0.0%	0.0
25:flash	flex	unit-testing	tdd	javascript	adobe	testing	asp.net	adobe-air	swf	20.0%	40.0%	26.666666666666668
35:wcf	windows	.net	c#	windows-services	service	c	start	visual-studio	rest	0.0%	0.0%	0.0
36:visual-studio	java	c#	php	python	hibernate	visual-studio-2008	vb.net	collections	android	10.0%	33.33333333333333%	15.384615384615383
42:windows	c#	.net	python	dll	php	c++	casting	command-line	c	10.0%	33.33333333333333%	15.384615384615383
49:.net	version	c#	iphone	.net-3.5	python	vb.net	delphi	internet-explorer	php	10.0%	50.0%	16.666666666666668
53:c#	html	java	css	regex	mysql	asp.net	jquery	visual-studio	apache	30.0%	50.0%	37.5
67:jquery	javascript	html	select	css	dropdownlist	asp.net	django	option	django-admin	10.0%	25.0%	14.285714285714286
68:google-maps	javascript	google-maps-api-3	api	google	stl	c++	android	kml	jquery	10.0%	33.33333333333333%	15.384615384615383
72:javascript	java	jquery	php	websocket	mobile	c++	web-development	android	ruby-on-rails-3	0.0%	0.0%	0.0
73:c#	.net	serialization	java	string	c++	vb.net	wcf	php	stringbuilder	30.0%	60.0%	40.0
75:debugging	visual-studio	visual-studio-2010	.net	c#	asp.net	c++	visual-studio-2008	android	iphone	20.0%	50.0%	28.571428571428573
83:c#	php	asp.net	java	web-services	c++	iphone	tutorials	struts2	winapi	10.0%	50.0%	16.666666666666668
97:c++	programming-languages	c#	c	career-development	.net	self-improvement	functional-programming	oop	java	0.0%	0.0%	0.0
114:git	hosting	svn	mercurial	open-source	iphone	php	visual-sourcesafe	project-management	xcode	10.0%	25.0%	14.285714285714286
118:parsing	c#	regex	javascript	string	java	android	xml	php	datetime	10.0%	50.0%	16.666666666666668
138:c#	process	linux	python	windows	javascript	css	.net	winapi	operating-system	10.0%	25.0%	14.285714285714286
144:java	eclipse	delphi	c#	asp.net	setup	c++	osgi	eclipse-plugin	export	10.0%	50.0%	16.666666666666668
164:osx	python	objective-c	cocoa	mono	.net	c	c#	monodevelop	networking	20.0%	40.0%	26.666666666666668
182:c++	programming-languages	c	.net	web-development	c#	java	architecture	interview-questions	javascript	10.0%	33.33333333333333%	15.384615384615383
186:c#	winforms	asp.net	.net	textbox	webbrowser-control	custom-controls	control	wpf	usercontrols	30.0%	75.0%	42.857142857142854
204:bash	shell	python	linux	command	c	c#	unix	selenium	php	20.0%	66.66666666666666%	30.769230769230766
221:c#	mysql	php	linux	silverlight	c	windows	port	sql-server-2005	.net	0.0%	0.0%	0.0
231:game-development	iphone	opengl-es	timer	books	android	c++	opengl	java	graphics	30.0%	60.0%	40.0
234:opengl	opengl-es	iphone	c#	graphics	game-development	xna	c++	directx	android	20.0%	40.0%	26.666666666666668
236:jquery	ajax	asp.net	javascript	asp.net-ajax	python	php	jquery-ajax	sql-server-2005	sql-server-2008	10.0%	25.0%	14.285714285714286
253:unit-testing	testing	c#	mocking	.net	integration-testing	java	visual-studio-2010	mstest	junit	10.0%	25.0%	14.285714285714286
256:asp.net	authentication	c#	asp.net-mvc	forms-authentication	php	asp.net-membership	oauth	openid	membership	0.0%	0.0%	0.0
257:c#	asp.net	.net	menu	android	contextmenu	wpf	controls	winforms	css	30.0%	100.0%	46.15384615384615
270:c#	windows	.net	c++	java	javascript	c	ruby-on-rails	jquery	asp.net	10.0%	20.0%	13.333333333333334
