3:unicode	encoding	utf-8	java	c#	string	ascii	c++	php	nsstring	20.0%	40.0%	26.666666666666668
5:sql	primary-key	sql-server	database	foreign-keys	oracle	database-design	tsql	sql-server-2005	mysql	10.0%	33.33333333333333%	15.384615384615383
6:javascript	java	c#	php	sql	winapi	xna	android	wpf	floating-point	0.0%	0.0%	NaN
15:colors	c#	cocoa	android	sql	label	.net	winforms	java	vb.net	10.0%	33.33333333333333%	15.384615384615383
18:c#	xml	php	file	.net	open-source	android	ruby-on-rails	asp.net	java	0.0%	0.0%	NaN
25:flash	flex	unit-testing	javascript	java	asp.net	adobe	tdd	actionscript-3	junit4	20.0%	40.0%	26.666666666666668
35:windows	wcf	.net	c#	service	c	dll	exe	windows-services	rest	0.0%	0.0%	NaN
36:java	php	python	visual-studio	c#	casting	collections	visual-studio-2008	jquery	django	10.0%	33.33333333333333%	15.384615384615383
42:windows	c#	python	.net	casting	c	php	command-line	winapi	dll	10.0%	33.33333333333333%	15.384615384615383
49:.net	c#	version	.net-3.5	java	vb.net	delphi	internet-explorer	php	python	10.0%	50.0%	16.666666666666668
53:c#	html	java	objective-c	c	css	math	javascript	php	jquery-ui	30.0%	50.0%	37.5
67:jquery	javascript	html	css	select	php	iphone	dropdownlist	java	asp.net	10.0%	25.0%	14.285714285714286
68:google-maps	google-maps-api-3	c++	api	google	javascript	java	stl	rss	jquery	10.0%	33.33333333333333%	15.384615384615383
72:jquery	javascript	php	websocket	java	c#	android	support	xbap	browser	10.0%	25.0%	14.285714285714286
73:c#	serialization	.net	c++	vb.net	javascript	string	c	language-agnostic	algorithm	20.0%	40.0%	26.666666666666668
75:debugging	visual-studio	visual-studio-2010	.net	visual-studio-2008	c++	c#	asp.net	xcode	iphone	20.0%	50.0%	28.571428571428573
83:php	java	c#	asp.net	web-services	c++	asp.net-mvc	struts2	composition	outlook-addin	10.0%	50.0%	16.666666666666668
97:c++	c#	programming-languages	career-development	self-improvement	c	oop	.net	functional-programming	ruby-on-rails	0.0%	0.0%	NaN
114:git	hosting	project-management	iphone	c#	resources	xcode	visual-sourcesafe	.net	java	0.0%	0.0%	NaN
118:regex	javascript	string	c#	parsing	java	php	datetime	android	operation	10.0%	50.0%	16.666666666666668
138:java	c#	process	css	winapi	.net	windows	javascript	html	python	10.0%	25.0%	14.285714285714286
144:java	eclipse	c#	asp.net	delphi	setup	.net	rpc	eclipse-plugin	string	10.0%	50.0%	16.666666666666668
164:python	osx	cocoa	mono	c	objective-c	.net	c#	ios	django	20.0%	40.0%	26.666666666666668
182:c++	programming-languages	c	oop	.net	c#	javascript	interview-questions	books	architecture	10.0%	33.33333333333333%	15.384615384615383
186:c#	asp.net	winforms	.net	controls	wpf	webbrowser-control	control	usercontrols	windows-ce	20.0%	50.0%	28.571428571428573
204:bash	shell	c	command	selenium	c#	.net	java	objective-c	windows	20.0%	66.66666666666666%	30.769230769230766
221:c#	java	silverlight	php	linux	mysql	c	r	windows	ssh	0.0%	0.0%	NaN
231:game-development	opengl-es	timer	books	iphone	javascript	c#	xna	opengl	graphics	40.0%	80.0%	53.333333333333336
234:opengl-es	iphone	game-development	c#	opengl	xna	.net	objective-c	java	graphics	20.0%	40.0%	26.666666666666668
236:jquery	asp.net	ajax	javascript	browser	jquery-ajax	python	php	java	version	10.0%	25.0%	14.285714285714286
253:unit-testing	testing	mocking	java	c#	.net	integration-testing	mbunit	visual-studio-2010	junit4	10.0%	25.0%	14.285714285714286
256:asp.net	authentication	c#	asp.net-mvc	php	.net	forms-authentication	ruby-on-rails	openid	oauth	0.0%	0.0%	NaN
257:asp.net	c#	css	android	wpf	menu	contextmenu	iphone	jquery	html	20.0%	66.66666666666666%	30.769230769230766
270:c#	windows	.net	javascript	c++	java	ruby-on-rails	c	dll	php	10.0%	20.0%	13.333333333333334
274:windows	c#	.net	php	javascript	java	com	asp.net	iphone	r	10.0%	50.0%	16.666666666666668
287:design-patterns	design	java	c#	books	.net	python	android	decisiontrees	database-design	20.0%	100.0%	33.333333333333336
290:jquery	html	javascript	c#	css	select	java	android	option	ssas	10.0%	50.0%	16.666666666666668
299:design	design-patterns	wcf	books	.net	rest	database-design	database	decisiontrees	c#	10.0%	50.0%	16.666666666666668
301:java	jsp	servlets	java-ee	c#	web-services	spring	math	web-development	mvc	20.0%	50.0%	28.571428571428573
310:rss	php	c#	css	javascript	asp.net	.net	html	xml	twitter	10.0%	50.0%	16.666666666666668
318:database	data-structures	algorithm	tree	sql	javascript	asp.net	database-design	c	web-services	10.0%	50.0%	16.666666666666668
323:iphone	java	python	c#	winapi	asp.net	android	php	javascript	flex	0.0%	0.0%	NaN
325:ssl	c#	apache	ruby-on-rails	https	ssl-certificate	android	java	security	windows	30.0%	100.0%	46.15384615384615
330:c#	xml	php	.net	asp.net	python	java	wpf	wpf-controls	windows	0.0%	0.0%	NaN
334:jquery	javascript	sql	c#	.net	java	iphone	python	vb.net	html	20.0%	40.0%	26.666666666666668
351:bash	python	c++	c	shell	asp.net	c#	javascript	java	php	10.0%	25.0%	14.285714285714286
355:sql	sql-server	mysql	sql-server-2008	sum	tsql	distinct	sql-server-2005	database	linq	20.0%	100.0%	33.333333333333336
356:maven-2	maven	java	ant	dependencies	ivy	hibernate	archetypes	nexus	lucene	30.0%	100.0%	46.15384615384615
359:c#	java	jquery	javascript	php	.net	r	ajax	android	c	20.0%	66.66666666666666%	30.769230769230766
362:c#	xml	asp.net	c++	internet-explorer	javascript	.net	algorithm	windows	format	10.0%	50.0%	16.666666666666668
380:c#	java	php	asp.net	r	javascript	features	.net-4.0	html5	jsp	0.0%	0.0%	NaN
388:java	c++	c#	php	android	http-headers	asp.net	caching	oop	.net	30.0%	75.0%	42.857142857142854
402:c#	asp.net	php	.net	c++	mysql	windows	jvm	java	xcode	0.0%	0.0%	NaN
413:c#	visual-studio	java	css	php	objective-c	python	css3	asp.net	.net	0.0%	0.0%	NaN
426:php	javascript	c#	java	get	wpf	c	c++	objective-c	sql	10.0%	100.0%	18.181818181818183
452:java	php	mvc	c++	math	linux	metasyntactic-variable	history	selenium	variable-variables	0.0%	0.0%	NaN
458:java	oop	try-catch	exception-handling	datetime	abstract-class	c++	terminology	compiler	javascript	10.0%	25.0%	14.285714285714286
472:database	java	php	.net	sql	c#	ms-access	javascript	grails	node.js	10.0%	100.0%	18.181818181818183
500:nhibernate	c#	javascript	java	casting	linq	mapping	php	c++	.net	30.0%	60.0%	40.0
506:php	date	java	mysql	sql	iphone	tsql	oracle	objective-c	c#	10.0%	100.0%	18.181818181818183
512:web-services	javascript	java	url	python	jquery	android	string	syntax	tomcat	10.0%	33.33333333333333%	15.384615384615383
527:objective-c	iphone	nsstring	ios	javascript	java	php	xcode	iphone-sdk-3.0	cocoa-touch	0.0%	0.0%	NaN
539:visual-studio	visual-studio-2008	projects-and-solutions	c++	.net	visual-studio-2010	open-source	projects	c#	macros	20.0%	100.0%	33.333333333333336
541:licensing	open-source	icons	gpl	gnu	c#	windows	winapi	.net	winforms	20.0%	100.0%	33.333333333333336
552:php	visual-studio-2010	c++	visual-studio-2008	java	html5	math	python	winapi	visual-c++	0.0%	0.0%	NaN
562:python	django	iis	php	windows	apache	shell	wimp	portability	lamp	20.0%	100.0%	33.333333333333336
570:database	sql	database-design	mysql	c#	.net	java	sql-server	ms-access	php	10.0%	33.33333333333333%	15.384615384615383
593:svn	git	dvcs	mercurial	version-control	eclipse	django	java	r	sync	20.0%	40.0%	26.666666666666668
607:asp.net	c#	javascript	iphone	java	php	python	sql-server	delphi	ruby-on-rails	20.0%	66.66666666666666%	30.769230769230766
623:iphone	cocoa-touch	objective-c	iphone-sdk-4.0	iphone-sdk-3.0	xcode	safari	windows	c#	constants	0.0%	0.0%	NaN
628:php	svn	clipboard	version-control	firefox	ankhsvn	windows	.net	javascript	xcode4	20.0%	100.0%	33.333333333333336
645:c#	java	r	php	javascript	android	windows	.net	asp.net	mysql	10.0%	50.0%	16.666666666666668
670:opengl	c++	opengl-es	graphics	iphone	shader	glsl	directx	c	antialiasing	20.0%	66.66666666666666%	30.769230769230766
673:php	java	email	c#	regex	outlook-addin	gmail	zend-framework	iphone	javascript	20.0%	66.66666666666666%	30.769230769230766
679:windows	.net	c#	version	python	php	delphi	internet-explorer	release-management	version-control	30.0%	75.0%	42.857142857142854
