25:java	flex	junit	unit-testing	testing	c#	vim	tdd	testng	com	20.0%	40.0%	26.666666666666668
32:mysql	sql	sql-server-2005	sql-server	table	database	sql-server-2008	migration	data-structures	ms-access	0.0%	0.0%	NaN
44:android	vb6	eclipse	java	c#	chm	g++	c	gcc	c++	0.0%	0.0%	NaN
52:mod-rewrite	php	.htaccess	apache	html	c#	url-rewriting	facebook-graph-api	ssh	javascript	10.0%	50.0%	16.666666666666668
81:iphone	jquery	windows-phone-7	ios	python	safari	extension	css	processing	cross-platform	0.0%	0.0%	NaN
85:java	javascript	.net	php	reflection	python	ipad	uikeyboard	ajax	object	0.0%	0.0%	NaN
97:c++	books	c#	c	java	teaching	functional-programming	clojure	lisp	programming-languages	0.0%	0.0%	NaN
102:c#	wpf	winforms	game-development	cocoa	algorithm	shadow	nsshadow	multidimensional-array	java	0.0%	0.0%	NaN
112:c#	winforms	registry	.net	c++	visual-studio-2008	getter	object	setter	windows-phone-7	30.0%	75.0%	42.857142857142854
115:java	oracle	unit-testing	sql-server	mysql	ora-00257	oracle9i	matlab	sql-server-2000	locking	10.0%	33.33333333333333%	15.384615384615383
116:php	.htaccess	mod-rewrite	apache	visual-studio-2008	.net	c#	installation	url-rewriting	toolbar	10.0%	16.666666666666664%	12.499999999999998
127:books	c	design	paradigms	lisp	java	oop	functional-programming	multithreading	teaching	10.0%	50.0%	16.666666666666668
132:sql-server	c#	.net	windows	visual-studio-2010	charts	vb.net	sql-server-2005	connection	ruby	10.0%	20.0%	13.333333333333334
139:visual-studio	visual-studio-2008	visual-c++	visual-studio-2010	.net	documentation	deployment	windows	compatibility	books	0.0%	0.0%	NaN
144:open-source	maven-2	licensing	java	c	c++	eclipse	project-management	linq-to-nhibernate	nhibernate	10.0%	50.0%	16.666666666666668
152:xml	xslt	c#	ruby-on-rails	sax	vb.net	ruby	xml-serialization	.net	xsltprocessor	20.0%	40.0%	26.666666666666668
192:c#	excel	.net	crystal-reports	asp.net	vsto	string	openoffice.org	upgrading	upgrade	10.0%	20.0%	13.333333333333334
198:html	css	jquery	c#	table	asp.net	winforms	vb.net	web-development	bitarray	0.0%	0.0%	NaN
201:c#	java	python	acl	horizontal	scrollbar	visual-c++	gridview	asp.net	.net	10.0%	50.0%	16.666666666666668
207:asp.net	c#	java	ide	books	controls	telerik	mvc	asp	c++	30.0%	60.0%	40.0
216:c#	winforms	.net	iphone	visual-c++	events	system-tray	wpf	windows	vb	30.0%	75.0%	42.857142857142854
222:javascript	html	jquery	iframe	css	webmatrix	content-type	razor	visual-studio-2010	load-testing	20.0%	66.66666666666666%	30.769230769230766
231:c#	math	language-agnostic	functional-programming	oop	java	clojure	pattern-matching	haskell	software-engineering	0.0%	0.0%	NaN
234:java	forums	asp.net-mvc	.net	php	wordpress	tutorials	documentation	tcsh	abap	0.0%	0.0%	NaN
256:asp.net	php	c#	javascript	authentication	facebook-connect	wordpress	authorization	windows	web-development	0.0%	0.0%	NaN
260:database	sql	ruby-on-rails	mysql	sql-server	iphone	ado.net	mysqldump	mysql-workbench	sqlbrowser	30.0%	60.0%	40.0
265:c#	eclipse	android	php	javascript	eclipse-rcp	jrebel	exception-handling	msbuild	error-log	0.0%	0.0%	NaN
269:c#	c++	ssh	email	list	arrays	ruby-on-rails-3	ruby-on-rails	ruby	msbuild	0.0%	0.0%	NaN
270:python	visual-studio	qt	soap	authentication	cookies	javascript	cryptography	security	hashing	0.0%	0.0%	NaN
273:javascript	html	css	jquery	browser	refresh	internet-explorer	quiz	redirect	browser-refresh	10.0%	50.0%	16.666666666666668
276:c#	javascript	.net	asp.net	iphone	wpf	id3	actionscript-3	audio	flash-cs4	0.0%	0.0%	NaN
283:css	html	jquery	internet-explorer	layout	php	rotate	positioning	safari-bug	whitespace	10.0%	33.33333333333333%	15.384615384615383
287:design-patterns	oop	java	design	c#	regex	clojure	books	functional-programming	state-machines	20.0%	100.0%	33.333333333333336
311:java	books	c	c++	jquery	c#	javascript	freelance	architecture	.net	20.0%	50.0%	28.571428571428573
322:bash	emacs	c#	ms-access	vba	shell	expansion	zsh	elisp	emacs23	10.0%	50.0%	16.666666666666668
328:java	software-engineering	design-patterns	c#	tools	google-latitude	google	api	social-networking	career-development	10.0%	33.33333333333333%	15.384615384615383
